Act Name,Jurisdiction,Category,Procedural Element,Description,Section,Relevancy Scale
Agricultural Land Reserve Use Regulation,Provincial,Regulation,Keeping animals,(c) providing a refuge for wildlife within the meaning of the Wildlife Act.,23,3
Agricultural Land Reserve Use Regulation,Provincial,Regulation,Infrastructure,"(i)  dikes and related pumphouses, and",25,3
Agricultural Land Reserve Use Regulation,Provincial,Regulation,Other permitted non-farm uses,"(3) The use of agricultural land for operating a temporary sawmill is permitted, but may be prohibited as described in section 20, if at least 50% of the volume of milled timber is harvested from the agricultural land on which the sawmill is located.",27,2
Agricultural Land Reserve Use Regulation,Provincial,Regulation,Permitted soil or fill uses,"(c) constructing or maintaining flood protection dikes, drainage, irrigation and livestock watering works for farm use, if the total annual volume of soil removed or fill placed is 320 m3/16 ha or less;",35,3
Agrologists Regulation,Provincial,Regulation,Definitions,"(B) classification, management, use, conservation, protection or enhancement of aquatic, terrestrial or atmospheric ecosystems that are affected by, sustain or have the potential to sustain the cultivation or production of aquatic or terrestrial plants or animals, or",1,4
Agrologists Regulation,Provincial,Regulation,Definitions,"(C) restoration, reclamation or remediation of aquatic, terrestrial or atmospheric ecosystems;",1,4
Agrologists Regulation,Provincial,Regulation,Definitions,"protective purposes means the safety, health and welfare of the public, including the protection of the environment and the promotion of health and safety in the workplace.",1,4
Angling and Scientific Collection Regulation,Provincial,Regulation,Interpretation,Act means the Wildlife Act;,1,3
Angling and Scientific Collection Regulation,Provincial,Regulation,Interpretation,annual angling licence means an angling licence issued for a term of not more than 12 months ending March 31;,1,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Interpretation,"classified waters angling licence means an angling licence, issued under section 2.01, that permits angling in a classified water;",1,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Interpretation,"guided classified water angler means a person who, in respect of a classified water, is a client of an angling guide who is authorized under the Act to guide for fish on the classified water;",1,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Interpretation,management plan means a plan for managing guiding for fish and angling referred to in section 52 (3) of the Act;,1,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Interpretation,"non-guided non-resident means a non-resident who is not a guided classified water angler, but does not include a non-guided non-resident alien;",1,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Interpretation,non-guided non-resident alien means a non-resident alien who is not a guided classified water angler;,1,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Interpretation,"Shuswap Lake means the waters of Mara Lake and Shuswap Lake including Seymour, Anstey and Salmon arms, Little Shuswap Lake, and that portion of South Thompson River (Little River) between Shuswap Lake and Little Shuswap Lake.",1,1
Angling and Scientific Collection Regulation,Provincial,Regulation,Interpretation,"(2) A classified water may be referred to in this regulation or on a classified waters angling licence by the term, if any, set out in brackets following the description of the classified water in column 1 of Schedule A.",1,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Conservation surcharge stamps,"2		  For the purposes of section 12 (a) (ii) of the Act, a person must be the holder of an angling licence bearing a conservation surcharge stamp affixed to the licence that permits angling in relation to that affixed stamp, and pay the applicable fee and conservation surcharge set out in Schedule C, as follows:",2,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Conservation surcharge stamps,"(a) for waters not listed in Schedule A, a conservation surcharge stamp affixed to the front of an angling licence in the box labelled Steelhead permits angling for or retaining steelhead in those unclassified waters;",2,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Conservation surcharge stamps,"(a.1) for classified waters listed in column 1 of Schedule A, a conservation surcharge stamp affixed to the front of an angling licence, in the box labelled Steelhead,",2,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Conservation surcharge stamps,"(i)  is required for angling in those classified waters during the period set out opposite in column 5, and",2,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Conservation surcharge stamps,(ii)  permits angling for or retaining steelhead in those classified waters;,2,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Conservation surcharge stamps,(b) a conservation surcharge stamp affixed to the front of an angling licence in the box labelled Kootenay Rainbow Trout permits the retention of up to 5 rainbow trout that measure more than 50 cm from the tip of the nose to the fork of the tail that are caught in Kootenay Lake east of a line between fishing boundary signs on opposite shores at Balfour Point and Proctor Lighthouse;,2,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Conservation surcharge stamps,"(c) a conservation surcharge stamp affixed to the front of an angling licence in the box labelled Non-tidal Salmon permits the retention of salmon that are caught in non-tidal waters of the Province, including not more than 10 adult chinook salmon;",2,1
Angling and Scientific Collection Regulation,Provincial,Regulation,Conservation surcharge stamps,(e) a conservation surcharge stamp affixed to the front of an angling licence in the box labelled Shuswap Rainbow Trout permits the retention of up to 5 rainbow trout that measure more than 50 cm from the tip of the nose to the fork in the tail that are caught in Shuswap Lake;,2,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Conservation surcharge stamps,(f) a conservation surcharge stamp affixed to the front of an angling licence in the box labelled Shuswap Char permits the retention of up to 5 char that measure more than 60 cm from the tip of the nose to the fork in the tail that are caught in Shuswap Lake.,2,2
Angling and Scientific Collection Regulation,Provincial,Regulation,White sturgeon conservation licence,"2.001
		  (1) For the purpose of section 12 (a) of the Act, in order to angle for white sturgeon in waters open to such angling, a person must be the holder of both",2.001,2
Angling and Scientific Collection Regulation,Provincial,Regulation,White sturgeon conservation licence,"(a) a basic angling licence, and",2.001,2
Angling and Scientific Collection Regulation,Provincial,Regulation,White sturgeon conservation licence,"(2) The white sturgeon conservation licence referred to in subsection (1) permits a resident, non-resident or non-resident alien angler, who possesses a basic angling licence for the same period, to angle for white sturgeon on an annual, 8-day, or one-day basis, depending on the conservation surcharges paid and the date or dates listed on the licence at the time of purchase, as follows:",2.001,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Classified waters angling licence,"(a) a basic angling licence, and",2.01,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Classified waters angling licence,(b) a classified waters angling licence that permits angling in that classified water at the time the angling takes place.,2.01,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Classified waters angling licence,(2) A classified waters angling licence permits a resident to angle in all classified waters during the term of the licence.,2.01,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Classified waters angling licence,(3) A classified waters angling licence permits a non-resident or a non-resident alien to angle only,2.01,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Classified waters angling licence,"(4) Despite subsection (3) and subject to subsection (5), a non-guided non-resident alien must not angle in a classified water or part of a classified water that is an item in column 1 of Schedule A.1 during the day or days of the week or the period of time specified in column 2 of Schedule A.1 for the water.",2.01,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Classified waters angling licence,"(6) Subject to section 2.02, a classified waters angling licence may be issued to a person who pays the applicable fee and conservation surcharge set out in Schedule C.",2.01,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Classified waters angling licence,(8) A classified waters angling licence issued to a non-resident or a non-resident alien is invalid if it specifies a period that is longer than 8 consecutive days.,2.01,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Classified waters angling licence,"(9) An angling guide, or an assistant angling guide employed by the angling guide, need not be the holder of a classified waters angling licence while guiding for fish a client of the angling guide on a classified water.",2.01,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Classified waters angling licence,(10) A person who angles on the Atnarko River/Bella Coola River classified water is not required to be the holder of a classified waters angling licence.,2.01,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Allocating classified waters angling licences to non-guided non-residents and non-guided non-resident aliens,(a) the maximum number of classified waters angling licences or angler days to be allocated to non-guided non-residents;,2.02,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Allocating classified waters angling licences to non-guided non-residents and non-guided non-resident aliens,(b) the maximum number of classified waters angling licences or angler days to be allocated to non-guided non-resident aliens.,2.02,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Allocating classified waters angling licences to non-guided non-residents and non-guided non-resident aliens,"(3) Upon setting a maximum number of classified waters angling licences or angler days for non-guided non-residents or non-guided non-resident aliens under subsection (1), the director must specify whether the licences or days will be allocated by a lottery or a booking system.",2.02,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Angling guide exemptions,"3
		  (1) For the purpose of section 1 of the Act and regulations under the Act, guide for fish does not include a class of persons who operate",3,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Angling guide exemptions,"(ii)  between a commercial fishing camp, lodge or resort and any other place which is not an angling site,",3,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Angling guide exemptions,"(iv)  to transport anglers to or from an angling site where such transportation is not a significant part of their transportation business and this transportation is not promoted by any person as a service to anglers,",3,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Angling guide exemptions,(b) a fishing school,3,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Angling guide exemptions,(2) Subsection (1) (a) (iv) does not apply to a person who transports an angler to 2 or more angling sites during a 24 hour period.,3,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Angling guide exemptions,(3) A regional manager may issue a permit for the operation of a fishing school on waters in the region to a person who,3,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Angling guide exemptions,(b) derives part of the person's income from work related to angling.,3,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Angler exemptions,"(a) angles in waters on premises operated under a licence or permit for breeding, holding or rearing fish under this Act or the Fisheries Act,",4,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Angler exemptions,"(c) is under 16 years of age, not a resident and is accompanied by a person 16 years or older who holds an angling licence and other licences required by regulation, and fish caught and kept by the younger person are included as part of the daily catch and possession limit of that older person, or",4,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Angler exemptions,(e) angles in any of the following waters while holding a sport fishing licence under the Yukon Territory Fishery Regulations (Canada):,4,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Family fishing exemption,"4.1		  (1) An individual who is ordinarily resident in Canada is exempt from section 12 of the Act during the weekend in June in which Father's Day occurs, and the Friday immediately preceding that weekend, while angling in non-tidal water that is not a classified water.",4.1,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Family fishing exemption,(2) The exemption of an individual under subsection (1) is on condition that the individual not retain fish caught while exempt of a species for which a conservation surcharge stamp is required for retention.,4.1,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Number of licences,(a) one annual angling licence;,5,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Number of licences,(d) one conservation surcharge stamp for salmon;,5,1
Angling and Scientific Collection Regulation,Provincial,Regulation,Number of licences,"(h) for non-resident aliens, one classified waters angling licence for the Dean River.",5,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Angling fees,"6
		  The fees and conservation surcharges payable for a permit or an angling licence to angle for fish in non-tidal waters of the Province are those specified in Schedule C.",6,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Waters reserved for young or disabled anglers,authorized angler means a person who is,6.1,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Waters reserved for young or disabled anglers,"companion means a person, other than an authorized angler, who accompanies and attends an authorized angler.",6.1,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Waters reserved for young or disabled anglers,"(a) an authorized angler, or",6.1,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Waters reserved for young or disabled anglers,"(b) a companion to an authorized angler, if the authorized angler has no more than 2 companions who are angling.",6.1,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Qualifications for an angling guide licence,"9
		  (1) A person who is an angling guide must have public liability insurance, in an amount of not less than $2 million, that is",9,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Qualifications for an angling guide licence,"(a) applicable to the person's angling guide business, and",9,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Qualifications for an angling guide licence,(b) in effect during the period for which the angling guide will operate.,9,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Qualifications for an angling guide licence,(2) A person under 19 years of age is not eligible for an angling guide licence.,9,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Qualifications for an angling guide licence,"(3) An applicant for an angling guide licence or assistant angling guide licence is required to satisfy the regional manager that, with respect to angling in the region where the applicant intends to guide for fish, the applicant has a working knowledge of the Act and regulations and the Fisheries Act (Canada) and its regulations.",9,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Application for an angling guide licence,"10		  (1) For each region of the Province in which an applicant for an angling guide licence proposes to guide for fish, the applicant must complete and submit an application in a manner satisfactory to the regional manager",10,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Allocation of angler day quota,"11
		  (1) Subsections (1.1) to (2) apply with respect to angler day quota for classified waters.",11,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Allocation of angler day quota,"(1.1) Subject to subsection (1.2), a regional manager may allocate angler day quota to an angling guide by issuing a certificate to the angling guide only if",11,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Allocation of angler day quota,"(a) a management plan applies to the classified water for which angler day quota is to be issued,",11,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Allocation of angler day quota,(c) the period for which the angler day quota is allocated is 20 years or less.,11,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Allocation of angler day quota,(1.2) A regional manager must use one of the following processes for allocating angler day quota for classified waters:,11,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Allocation of angler day quota,(a) a process that requires an angling guide to bid for angler day quota for one or more classified waters by sealed tender or auction;,11,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Allocation of angler day quota,(b) a process that requires an angling guide to submit a written proposal for the use of angler day quota;,11,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Allocation of angler day quota,"(c) a process that requires an angling guide to submit a sealed tender referred to in paragraph (a), together with a written proposal, as referred to in paragraph (b).",11,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Allocation of angler day quota,"(2) A regional manager may renew or extend the period for which angler day quota is allocated to an angling guide, if",11,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Allocation of angler day quota,"(a) the angling guide submits to the regional manager an application, in the form required by the regional manager, for renewal of the angler day quota, and",11,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Allocation of angler day quota,(b) at least 1/2 of the term of the existing angler day quota has elapsed.,11,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Allocation of angler day quota,"(a) issue angling guide licences for the licence year in excess of the number specified in column 2 of Schedule A for the classified water, or",11,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Allocation of angler day quota,(b) allocate total angler day quota for a period specified in column 4 of Schedule A for the classified water in excess of the number of days specified for that period in column 3 of Schedule A.,11,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Allocation of angler day quota,(4) A regional manager may exempt a class of angler from the application of subsection (3) (b) in respect of a water in a region specified by the regional manager in the exemption.,11,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Allocation of angler day quota,(5) The regional manager may allocate angler day quota for the Bulkley River additional guiding zone classified water only to a single person who is the holder of an angling guide licence for the Bulkley River classified water.,11,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Adjustments to allocated angler day quota,"11.1
		  If a number specified in column 3 of Schedule A for a classified water is revised downward so that the number of angler days in the existing total allocation of angler day quota in a period specified in column 4 of Schedule A for the classified water exceeds the maximum allowable specified in column 3 of Schedule A for that period, the regional manager who is responsible for the classified water must adjust the allocation of angler day quota",11.1,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Adjustments to allocated angler day quota,"(a) by any method agreed upon by the regional manager and all of the affected angling guides, or",11.1,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Adjustments to allocated angler day quota,"(i)  first, by reducing any unused angler day quota that is part of an existing allocation;",11.1,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Adjustments to allocated angler day quota,"(ii)  secondly, if needed, by subtracting the remaining excess angler days from each angling guide according to the percentage of angler days each angling guide retained after the adjustment under subparagraph (i).",11.1,2
Angling and Scientific Collection Regulation,Provincial,Regulation,"Cancellation, suspension or variation of angler day quota","11.2
		  Subject to section 11.3, a regional manager may cancel, suspend or vary angler day quota held by a person if the person",11.2,2
Angling and Scientific Collection Regulation,Provincial,Regulation,"Cancellation, suspension or variation of angler day quota","(a) fails to use substantially all of the person's angler day quota, without reasonable excuse, or",11.2,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Hearing,"11.3
		  (1) A regional manager may cancel, suspend or vary angler day quota under section 11.2 only after holding a hearing.",11.3,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Hearing,(2) The regional manager must give reasonable notice of the time and place for the hearing to the person who holds the angler day quota that is to be considered at the hearing.,11.3,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Fees for angler day quota,"11.4
		  (1) A person who holds angler day quota must pay annually, for each day of angler day quota held, the applicable fee and conservation surcharge set out in Schedule C.1.",11.4,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Fees for angler day quota,"(i)  on the date of application for an angling guide licence, if the person applies on or before May 30 for an angling guide licence for the first time or for an angling guide licence that has different terms and conditions from the immediately prior licence held by that person, or",11.4,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Angling guide fees,"12
		  (1) The successful applicant for a licence to guide for fish must pay the applicable fee as follows:",12,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Angling guide fees,(a) for an angling guide: $400 plus a conservation surcharge of $50;,12,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Angling guide fees,(b) for an assistant angling guide: $130 plus a conservation surcharge of $20;,12,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Angling guide fees,(c) for an increase in angler day quota through transfer from another angling guide: $300.,12,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Conditions of licence,"13
		  (1) The conditions of an angling guide licence are that the holder",13,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Conditions of licence,"(i)  the number of resident, non-resident and non-resident alien angler days guided for fish,",13,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Conditions of licence,"(ii)  the species, number and location of fish caught by each class of person the holder or the holder's assistant angling guides have guided for fish, and",13,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Conditions of licence,"(iii)  the classified waters angling licence number of each guided classified water angler angling in a classified water,",13,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Conditions of licence,"(c) not transfer the angler day quota or other rights under the licence to another person without the prior written approval of the regional manager of the region to which the licence applies, or",13,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Conditions of licence,(d) use substantially all of the holder's angler day quota or have a reasonable excuse for failing to do so.,13,2
Angling and Scientific Collection Regulation,Provincial,Regulation,Conditions of licence,"(1.1) It is a condition of an angling guide licence that permits guiding for fish on a water that is an item in column 1 of Schedule C.2 that the angling guide must not, on any day during the period specified in column 2 of Schedule C.2 for that item, guide for fish on that water, or permit an assistant angling guide employed by the angling guide to guide for fish on that water,",13,2
